taxon,taxon1,taxon2,genus,tribe,subfamily,family,order,class,agg.ssp,rand.type,poly.ins
Heliconia_pastazae,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_pardoi,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_paludigena,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_osaensis,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_oleosa,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_obscuroides,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_obscura,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_nigripraefixa,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_necrobracteata,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_nariniensis,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_mutisiana,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_mucilagina,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_mooreana,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_mincana,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_meridensis,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_marginata,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_magnifica,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_maculata,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_lutheri,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_lutea,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
