"taxon","genus","tribe","subfamily","family","order","class"
"Lepilemur_grewcockorum","Lepilemur",,,"Lepilemuridae","Primates","Mammalia"
"Lepilemur_otto","Lepilemur",,,"Lepilemuridae","Primates","Mammalia"
"Lepilemur_septentrionalis","Lepilemur",,,"Lepilemuridae","Primates","Mammalia"
"Lepilemur_sahamalazensis","Lepilemur",,,"Lepilemuridae","Primates","Mammalia"
"Lepilemur_dorsalis","Lepilemur",,,"Lepilemuridae","Primates","Mammalia"
"Lepilemur_ankaranensis","Lepilemur",,,"Lepilemuridae","Primates","Mammalia"
"Lepilemur_mittermeieri","Lepilemur",,,"Lepilemuridae","Primates","Mammalia"
"Propithecus_diadema","Propithecus",,,"Indriidae","Primates","Mammalia"
"Propithecus_edwardsi","Propithecus",,,"Indriidae","Primates","Mammalia"
"Propithecus_perrieri","Propithecus",,,"Indriidae","Primates","Mammalia"
"Propithecus_tattersalli","Propithecus",,,"Indriidae","Primates","Mammalia"
"Propithecus_verreauxi","Propithecus",,,"Indriidae","Primates","Mammalia"
"Propithecus_deckenii","Propithecus",,,"Indriidae","Primates","Mammalia"
"Propithecus_coquereli","Propithecus",,,"Indriidae","Primates","Mammalia"
"Avahi_laniger","Avahi",,,"Indriidae","Primates","Mammalia"
"Avahi_occidentalis","Avahi",,,"Indriidae","Primates","Mammalia"
"Avahi_cleesei","Avahi",,,"Indriidae","Primates","Mammalia"
"Indri_indri","Indri",,,"Indriidae","Primates","Mammalia"
"Archaeolemur_majori","Archaeolemur",,,"Indriidae","Primates","Mammalia"
"Phaner_furcifer","Phaner",,,"Cheirogaleidae","Primates","Mammalia"
"Palaeopropithecus_ingens","Palaeopropithecus",,,"Paleopropithecidae","Primates","Mammalia"
"Tarsius_syrichta","Tarsius",,,"Tarsiidae","Primates","Mammalia"
"Tarsius_bancanus","Tarsius",,,"Tarsiidae","Primates","Mammalia"
"Tarsius_dentatus","Tarsius",,,"Tarsiidae","Primates","Mammalia"
"Tarsius_tarsier","Tarsius",,,"Tarsiidae","Primates","Mammalia"
"Tarsius_lariang","Tarsius",,,"Tarsiidae","Primates","Mammalia"
"Tarsius_wallacei","Tarsius",,,"Tarsiidae","Primates","Mammalia"
"Aotus_trivirgatus","Aotus",,,"Aotidae","Primates","Mammalia"
"Aotus_nigriceps","Aotus",,,"Aotidae","Primates","Mammalia"
"Aotus_azarae","Aotus",,,"Aotidae","Primates","Mammalia"
"Aotus_nancymaae","Aotus",,,"Aotidae","Primates","Mammalia"
"Aotus_lemurinus","Aotus",,,"Aotidae","Primates","Mammalia"
"Aotus_griseimembra","Aotus",,,"Aotidae","Primates","Mammalia"
"Aotus_vociferans","Aotus",,,"Aotidae","Primates","Mammalia"
"Aotus_zonalis","Aotus",,,"Aotidae","Primates","Mammalia"
