"taxon","taxon1","taxon2","genus","tribe","subfamily","family","order","class","agg.ssp","rand.type","poly.ins"
"Microcebus_ravelobensis",,,"Microcebus",,,"Cheirogaleidae","Primates","Mammalia",,,
"Microcebus_murinus",,,"Microcebus",,,"Cheirogaleidae","Primates","Mammalia",,,
"Cheirogaleus_lavasoensis",,,"Cheirogaleus",,,"Cheirogaleidae","Primates","Mammalia",,,
"Cheirogaleus_minusculus",,,"Cheirogaleus",,,"Cheirogaleidae","Primates","Mammalia",,,
"Cheirogaleus_sibreei",,,"Cheirogaleus",,,"Cheirogaleidae","Primates","Mammalia",,,
"Cheirogaleus_crossleyi",,,"Cheirogaleus",,,"Cheirogaleidae","Primates","Mammalia",,,
"Cheirogaleus_major",,,"Cheirogaleus",,,"Cheirogaleidae","Primates","Mammalia",,,
"Cheirogaleus_medius",,,"Cheirogaleus",,,"Cheirogaleidae","Primates","Mammalia",,,
"Megaladapis_edwardsi",,,"Megaladapis",,,"Lepilemuridae","Primates","Mammalia",,,
"Lepilemur_wrightae",,,"Lepilemur",,,"Lepilemuridae","Primates","Mammalia",,,
"Lepilemur_tymerlachsoni",,,"Lepilemur",,,"Lepilemuridae","Primates","Mammalia",,,
"Lepilemur_scottorum",,,"Lepilemur",,,"Lepilemuridae","Primates","Mammalia",,,
"Lepilemur_randrianasoloi",,,"Lepilemur",,,"Lepilemuridae","Primates","Mammalia",,,
"Lepilemur_petteri",,,"Lepilemur",,,"Lepilemuridae","Primates","Mammalia",,,
"Lepilemur_milanoii",,,"Lepilemur",,,"Lepilemuridae","Primates","Mammalia",,,
"Lepilemur_hollandorum",,,"Lepilemur",,,"Lepilemuridae","Primates","Mammalia",,,
"Lepilemur_grewcockorum",,,"Lepilemur",,,"Lepilemuridae","Primates","Mammalia",,,
"Lepilemur_fleuretae",,,"Lepilemur",,,"Lepilemuridae","Primates","Mammalia",,,
"Lepilemur_betsileo",,,"Lepilemur",,,"Lepilemuridae","Primates","Mammalia",,,
"Lepilemur_ahmansonorum",,,"Lepilemur",,,"Lepilemuridae","Primates","Mammalia",,,
"Lepilemur_hubbardorum",,,"Lepilemur",,,"Lepilemuridae","Primates","Mammalia",,,
"Lepilemur_jamesorum",,,"Lepilemur",,,"Lepilemuridae","Primates","Mammalia",,,
"Lepilemur_otto",,,"Lepilemur",,,"Lepilemuridae","Primates","Mammalia",,,
"Lepilemur_manasamody",,,"Lepilemur",,,"Lepilemuridae","Primates","Mammalia",,,
"Lepilemur_mittermeieri",,,"Lepilemur",,,"Lepilemuridae","Primates","Mammalia",,,
"Lepilemur_ankaranensis",,,"Lepilemur",,,"Lepilemuridae","Primates","Mammalia",,,
"Lepilemur_aeeclis",,,"Lepilemur",,,"Lepilemuridae","Primates","Mammalia",,,
"Lepilemur_sahamalazensis",,,"Lepilemur",,,"Lepilemuridae","Primates","Mammalia",,,
"Lepilemur_seali",,,"Lepilemur",,,"Lepilemuridae","Primates","Mammalia",,,
"Lepilemur_mitsinjoensis",,,"Lepilemur",,,"Lepilemuridae","Primates","Mammalia",,,
"Lepilemur_microdon",,,"Lepilemur",,,"Lepilemuridae","Primates","Mammalia",,,
"Lepilemur_edwardsi",,,"Lepilemur",,,"Lepilemuridae","Primates","Mammalia",,,
"Lepilemur_leucopus",,,"Lepilemur",,,"Lepilemuridae","Primates","Mammalia",,,
"Lepilemur_ruficaudatus",,,"Lepilemur",,,"Lepilemuridae","Primates","Mammalia",,,
"Lepilemur_septentrionalis",,,"Lepilemur",,,"Lepilemuridae","Primates","Mammalia",,,
"Lepilemur_dorsalis",,,"Lepilemur",,,"Lepilemuridae","Primates","Mammalia",,,
"Lepilemur_mustelinus",,,"Lepilemur",,,"Lepilemuridae","Primates","Mammalia",,,
"Hadropithecus_stenognathus",,,"Hadropithecus",,,"Indriidae","Primates","Mammalia",,,
"Archaeolemur_edwardsi",,,"Archaeolemur",,,"Indriidae","Primates","Mammalia",,,
"Archaeolemur_majori",,,"Archaeolemur",,,"Indriidae","Primates","Mammalia",,,
"Avahi_peyrierasi",,,"Avahi",,,"Indriidae","Primates","Mammalia",,,
"Avahi_cleesei",,,"Avahi",,,"Indriidae","Primates","Mammalia",,,
"Avahi_unicolor",,,"Avahi",,,"Indriidae","Primates","Mammalia",,,
"Avahi_occidentalis",,,"Avahi",,,"Indriidae","Primates","Mammalia",,,
"Avahi_laniger",,,"Avahi",,,"Indriidae","Primates","Mammalia",,,
"Indri_indri",,,"Indri",,,"Indriidae","Primates","Mammalia",,,
"Propithecus_perrieri",,,"Propithecus",,,"Indriidae","Primates","Mammalia",,,
"Propithecus_candidus",,,"Propithecus",,,"Indriidae","Primates","Mammalia",,,
"Propithecus_edwardsi",,,"Propithecus",,,"Indriidae","Primates","Mammalia",,,
"Propithecus_deckenii",,,"Propithecus",,,"Indriidae","Primates","Mammalia",,,
"Propithecus_coquereli",,,"Propithecus",,,"Indriidae","Primates","Mammalia",,,
"Propithecus_diadema",,,"Propithecus",,,"Indriidae","Primates","Mammalia",,,
"Propithecus_verreauxi",,,"Propithecus",,,"Indriidae","Primates","Mammalia",,,
"Propithecus_tattersalli",,,"Propithecus",,,"Indriidae","Primates","Mammalia",,,
"Pachylemur_jullyi",,,"Pachylemur",,,"Lemuridae","Primates","Mammalia",,,
"Prolemur_simus",,,"Prolemur",,,"Lemuridae","Primates","Mammalia",,,
"Hapalemur_occidentalis",,,"Hapalemur",,,"Lemuridae","Primates","Mammalia",,,
"Hapalemur_aureus",,,"Hapalemur",,,"Lemuridae","Primates","Mammalia",,,
"Hapalemur_griseus",,,"Hapalemur",,,"Lemuridae","Primates","Mammalia",,,
"Eulemur_cinereiceps_x_rufifrons",,,"Eulemur",,,"Lemuridae","Primates","Mammalia",,,
"Eulemur_albifrons_x_cinereiceps",,,"Eulemur",,,"Lemuridae","Primates","Mammalia",,,
"Eulemur_albifrons_x_rufifrons",,,"Eulemur",,,"Lemuridae","Primates","Mammalia",,,
"Eulemur_albifrons",,,"Eulemur",,,"Lemuridae","Primates","Mammalia",,,
"Eulemur_rufifrons",,,"Eulemur",,,"Lemuridae","Primates","Mammalia",,,
"Eulemur_rufus",,,"Eulemur",,,"Lemuridae","Primates","Mammalia",,,
"Eulemur_cinereiceps",,,"Eulemur",,,"Lemuridae","Primates","Mammalia",,,
"Eulemur_sanfordi",,,"Eulemur",,,"Lemuridae","Primates","Mammalia",,,
"Eulemur_flavifrons",,,"Eulemur",,,"Lemuridae","Primates","Mammalia",,,
"Eulemur_rubriventer",,,"Eulemur",,,"Lemuridae","Primates","Mammalia",,,
"Eulemur_mongoz",,,"Eulemur",,,"Lemuridae","Primates","Mammalia",,,
"Eulemur_macaco",,,"Eulemur",,,"Lemuridae","Primates","Mammalia",,,
"Eulemur_fulvus",,,"Eulemur",,,"Lemuridae","Primates","Mammalia",,,
"Eulemur_coronatus",,,"Eulemur",,,"Lemuridae","Primates","Mammalia",,,
"Varecia_rubra",,,"Varecia",,,"Lemuridae","Primates","Mammalia",,,
"Varecia_variegata",,,"Varecia",,,"Lemuridae","Primates","Mammalia",,,
